example_path,merged_label,label,new_split,vis_source,inf_source,status,output_channels
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\2.099100310770278_117.14522857097676,Smallholder agriculture,Small-scale agriculture,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-4.767738023907096_139.4917447910055,Other,Other,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\3.911399451843444_116.7532952440107,Plantation,Other large-scale plantations,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-2.5283956763076345_101.7912040313132,Other,Secondary forest,train,2019_03_15_cloud_0.png,2019_03_15_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-3.371231872430932_113.8137617205626,Plantation,Other large-scale plantations,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\2.6486657087748364_98.41252795832916,Smallholder agriculture,Small-scale agriculture,train,2013_06_07_cloud_0.png,2013_06_07_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-0.8013332888682918_110.5986055704217,Other,Secondary forest,train,2013_06_24_cloud_0.png,2013_06_24_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-1.1868942671811935_113.99911359124611,Plantation,Oil palm plantation,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-2.1348429992476423_132.49006025098222,Grassland shrubland,Grassland shrubland,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\1.0568844342340178_111.17150205961764,Smallholder agriculture,Small-scale agriculture,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-2.6885524459211765_111.79120114604476,Grassland shrubland,Grassland shrubland,train,2017_08_31_cloud_0.png,2017_08_31_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\2.546407116109122_97.95942421685184,Smallholder agriculture,Small-scale mixed plantation,train,2013_06_07_cloud_0.png,2013_06_07_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-1.5626515686018512_113.86002046611834,Other,Mining,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-2.6605127565207964_112.59231056840808,Plantation,Oil palm plantation,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-3.255646243572405_119.11835838905256,Smallholder agriculture,Small-scale agriculture,train,2013_05_20_cloud_0.png,2013_05_20_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-1.8207082352189168_104.1240203483637,Smallholder agriculture,Small-scale agriculture,train,2013_06_27_cloud_0.png,2013_06_27_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-2.203298648296125_111.2342269243313,Plantation,Oil palm plantation,train,2016_03_12_cloud_0.png,2016_03_12_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\0.4900907008675273_124.44475716948811,Smallholder agriculture,Small-scale agriculture,train,2014_02_27_cloud_0.png,2014_02_27_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-1.604000236497884_113.603870354428,Other,Mining,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-0.2049376832709861_99.81366474761084,Plantation,Oil palm plantation,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\0.2189670620409026_111.58114666225168,Other,Mining,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\0.7207847577160367_108.99493764285133,Smallholder agriculture,Small-scale oil palm plantation,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\1.8013883898574703_117.48155240123796,Other,Logging,train,composite.png,composite.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\2.401672518066724_100.28327129266786,Plantation,Oil palm plantation,train,2014_07_21_cloud_0.png,2014_07_21_cloud_0.npy,ok,10
D:\KULIAH\sem 4\machine learn\project w ilo lila\ForestNetDataset\deep\downloads\ForestNetDataset\examples\-1.1672384222971353_115.04365930981916,Plantation,Oil palm plantation,train,composite.png,composite.npy,ok,10
